stat,raw_value,agg_value
BP_MISPRED_STALL_CORE_0,0,0
BP_RESOLVED_CORE_0,0,0
BP_REDIRECT_RESOLVED_CORE_0,0,0
PERFECT_TARGET_PRED_CORE_0,0,0
BP_ON_PATH_CORRECT_CORE_0,640,100%
BP_ON_PATH_MISPREDICT_CORE_0,0,0%
BP_ON_PATH_MISFETCH_CORE_0,0,0%
BP_MISPRED_STALL_CORE_1,0,0
BP_RESOLVED_CORE_1,0,0
BP_REDIRECT_RESOLVED_CORE_1,0,0
PERFECT_TARGET_PRED_CORE_1,0,0
BP_ON_PATH_CORRECT_CORE_1,672,100%
BP_ON_PATH_MISPREDICT_CORE_1,0,0%
BP_ON_PATH_MISFETCH_CORE_1,0,0%
BP_MISPRED_STALL_CORE_2,0,0
BP_RESOLVED_CORE_2,0,0
BP_REDIRECT_RESOLVED_CORE_2,0,0
PERFECT_TARGET_PRED_CORE_2,0,0
BP_ON_PATH_CORRECT_CORE_2,640,100%
BP_ON_PATH_MISPREDICT_CORE_2,0,0%
BP_ON_PATH_MISFETCH_CORE_2,0,0%
BP_MISPRED_STALL_CORE_3,0,0
BP_RESOLVED_CORE_3,0,0
BP_REDIRECT_RESOLVED_CORE_3,0,0
PERFECT_TARGET_PRED_CORE_3,0,0
BP_ON_PATH_CORRECT_CORE_3,722,100%
BP_ON_PATH_MISPREDICT_CORE_3,0,0%
BP_ON_PATH_MISFETCH_CORE_3,0,0%
BP_MISPRED_STALL_CORE_4,0,0
BP_RESOLVED_CORE_4,0,0
BP_REDIRECT_RESOLVED_CORE_4,0,0
PERFECT_TARGET_PRED_CORE_4,0,0
BP_ON_PATH_CORRECT_CORE_4,768,100%
BP_ON_PATH_MISPREDICT_CORE_4,0,0%
BP_ON_PATH_MISFETCH_CORE_4,0,0%
BP_MISPRED_STALL_CORE_5,0,0
BP_RESOLVED_CORE_5,0,0
BP_REDIRECT_RESOLVED_CORE_5,0,0
PERFECT_TARGET_PRED_CORE_5,0,0
BP_ON_PATH_CORRECT_CORE_5,640,100%
BP_ON_PATH_MISPREDICT_CORE_5,0,0%
BP_ON_PATH_MISFETCH_CORE_5,0,0%
BP_MISPRED_STALL_CORE_6,0,0
BP_RESOLVED_CORE_6,0,0
BP_REDIRECT_RESOLVED_CORE_6,0,0
PERFECT_TARGET_PRED_CORE_6,0,0
BP_ON_PATH_CORRECT_CORE_6,544,100%
BP_ON_PATH_MISPREDICT_CORE_6,0,0%
BP_ON_PATH_MISFETCH_CORE_6,0,0%
BP_MISPRED_STALL_CORE_7,0,0
BP_RESOLVED_CORE_7,0,0
BP_REDIRECT_RESOLVED_CORE_7,0,0
PERFECT_TARGET_PRED_CORE_7,0,0
BP_ON_PATH_CORRECT_CORE_7,544,100%
BP_ON_PATH_MISPREDICT_CORE_7,0,0%
BP_ON_PATH_MISFETCH_CORE_7,0,0%
BP_MISPRED_STALL_CORE_8,0,0
BP_RESOLVED_CORE_8,0,0
BP_REDIRECT_RESOLVED_CORE_8,0,0
PERFECT_TARGET_PRED_CORE_8,0,0
BP_ON_PATH_CORRECT_CORE_8,640,100%
BP_ON_PATH_MISPREDICT_CORE_8,0,0%
BP_ON_PATH_MISFETCH_CORE_8,0,0%
BP_MISPRED_STALL_CORE_9,0,0
BP_RESOLVED_CORE_9,0,0
BP_REDIRECT_RESOLVED_CORE_9,0,0
PERFECT_TARGET_PRED_CORE_9,0,0
BP_ON_PATH_CORRECT_CORE_9,672,100%
BP_ON_PATH_MISPREDICT_CORE_9,0,0%
BP_ON_PATH_MISFETCH_CORE_9,0,0%
BP_MISPRED_STALL_CORE_10,0,0
BP_RESOLVED_CORE_10,0,0
BP_REDIRECT_RESOLVED_CORE_10,0,0
PERFECT_TARGET_PRED_CORE_10,0,0
BP_ON_PATH_CORRECT_CORE_10,608,100%
BP_ON_PATH_MISPREDICT_CORE_10,0,0%
BP_ON_PATH_MISFETCH_CORE_10,0,0%
BP_MISPRED_STALL_CORE_11,0,0
BP_RESOLVED_CORE_11,0,0
BP_REDIRECT_RESOLVED_CORE_11,0,0
PERFECT_TARGET_PRED_CORE_11,0,0
BP_ON_PATH_CORRECT_CORE_11,736,100%
BP_ON_PATH_MISPREDICT_CORE_11,0,0%
BP_ON_PATH_MISFETCH_CORE_11,0,0%
BP_MISPRED_STALL_CORE_12,0,0
BP_RESOLVED_CORE_12,0,0
BP_REDIRECT_RESOLVED_CORE_12,0,0
PERFECT_TARGET_PRED_CORE_12,0,0
BP_ON_PATH_CORRECT_CORE_12,768,100%
BP_ON_PATH_MISPREDICT_CORE_12,0,0%
BP_ON_PATH_MISFETCH_CORE_12,0,0%
BP_MISPRED_STALL_CORE_13,0,0
BP_RESOLVED_CORE_13,0,0
BP_REDIRECT_RESOLVED_CORE_13,0,0
PERFECT_TARGET_PRED_CORE_13,0,0
BP_ON_PATH_CORRECT_CORE_13,640,100%
BP_ON_PATH_MISPREDICT_CORE_13,0,0%
BP_ON_PATH_MISFETCH_CORE_13,0,0%
BP_MISPRED_STALL_CORE_14,0,0
BP_RESOLVED_CORE_14,0,0
BP_REDIRECT_RESOLVED_CORE_14,0,0
PERFECT_TARGET_PRED_CORE_14,0,0
BP_ON_PATH_CORRECT_CORE_14,672,100%
BP_ON_PATH_MISPREDICT_CORE_14,0,0%
BP_ON_PATH_MISFETCH_CORE_14,0,0%
BP_MISPRED_STALL_CORE_15,0,0
BP_RESOLVED_CORE_15,0,0
BP_REDIRECT_RESOLVED_CORE_15,0,0
PERFECT_TARGET_PRED_CORE_15,0,0
BP_ON_PATH_CORRECT_CORE_15,608,100%
BP_ON_PATH_MISPREDICT_CORE_15,0,0%
BP_ON_PATH_MISFETCH_CORE_15,0,0%
BP_MISPRED_STALL_CORE_16,0,0
BP_RESOLVED_CORE_16,0,0
BP_REDIRECT_RESOLVED_CORE_16,0,0
PERFECT_TARGET_PRED_CORE_16,0,0
BP_ON_PATH_CORRECT_CORE_16,608,100%
BP_ON_PATH_MISPREDICT_CORE_16,0,0%
BP_ON_PATH_MISFETCH_CORE_16,0,0%
BP_MISPRED_STALL_CORE_17,0,0
BP_RESOLVED_CORE_17,0,0
BP_REDIRECT_RESOLVED_CORE_17,0,0
PERFECT_TARGET_PRED_CORE_17,0,0
BP_ON_PATH_CORRECT_CORE_17,640,100%
BP_ON_PATH_MISPREDICT_CORE_17,0,0%
BP_ON_PATH_MISFETCH_CORE_17,0,0%
BP_MISPRED_STALL_CORE_18,0,0
BP_RESOLVED_CORE_18,0,0
BP_REDIRECT_RESOLVED_CORE_18,0,0
PERFECT_TARGET_PRED_CORE_18,0,0
BP_ON_PATH_CORRECT_CORE_18,672,100%
BP_ON_PATH_MISPREDICT_CORE_18,0,0%
BP_ON_PATH_MISFETCH_CORE_18,0,0%
BP_MISPRED_STALL_CORE_19,0,0
BP_RESOLVED_CORE_19,0,0
BP_REDIRECT_RESOLVED_CORE_19,0,0
PERFECT_TARGET_PRED_CORE_19,0,0
BP_ON_PATH_CORRECT_CORE_19,704,100%
BP_ON_PATH_MISPREDICT_CORE_19,0,0%
BP_ON_PATH_MISFETCH_CORE_19,0,0%
BP_MISPRED_STALL_CORE_20,0,0
BP_RESOLVED_CORE_20,0,0
BP_REDIRECT_RESOLVED_CORE_20,0,0
PERFECT_TARGET_PRED_CORE_20,0,0
BP_ON_PATH_CORRECT_CORE_20,544,100%
BP_ON_PATH_MISPREDICT_CORE_20,0,0%
BP_ON_PATH_MISFETCH_CORE_20,0,0%
BP_MISPRED_STALL_CORE_21,0,0
BP_RESOLVED_CORE_21,0,0
BP_REDIRECT_RESOLVED_CORE_21,0,0
PERFECT_TARGET_PRED_CORE_21,0,0
BP_ON_PATH_CORRECT_CORE_21,672,100%
BP_ON_PATH_MISPREDICT_CORE_21,0,0%
BP_ON_PATH_MISFETCH_CORE_21,0,0%
BP_MISPRED_STALL_CORE_22,0,0
BP_RESOLVED_CORE_22,0,0
BP_REDIRECT_RESOLVED_CORE_22,0,0
PERFECT_TARGET_PRED_CORE_22,0,0
BP_ON_PATH_CORRECT_CORE_22,768,100%
BP_ON_PATH_MISPREDICT_CORE_22,0,0%
BP_ON_PATH_MISFETCH_CORE_22,0,0%
BP_MISPRED_STALL_CORE_23,0,0
BP_RESOLVED_CORE_23,0,0
BP_REDIRECT_RESOLVED_CORE_23,0,0
PERFECT_TARGET_PRED_CORE_23,0,0
BP_ON_PATH_CORRECT_CORE_23,704,100%
BP_ON_PATH_MISPREDICT_CORE_23,0,0%
BP_ON_PATH_MISFETCH_CORE_23,0,0%
BP_MISPRED_STALL_CORE_24,0,0
BP_RESOLVED_CORE_24,0,0
BP_REDIRECT_RESOLVED_CORE_24,0,0
PERFECT_TARGET_PRED_CORE_24,0,0
BP_ON_PATH_CORRECT_CORE_24,640,100%
BP_ON_PATH_MISPREDICT_CORE_24,0,0%
BP_ON_PATH_MISFETCH_CORE_24,0,0%
BP_MISPRED_STALL_CORE_25,0,0
BP_RESOLVED_CORE_25,0,0
BP_REDIRECT_RESOLVED_CORE_25,0,0
PERFECT_TARGET_PRED_CORE_25,0,0
BP_ON_PATH_CORRECT_CORE_25,704,100%
BP_ON_PATH_MISPREDICT_CORE_25,0,0%
BP_ON_PATH_MISFETCH_CORE_25,0,0%
BP_MISPRED_STALL_CORE_26,0,0
BP_RESOLVED_CORE_26,0,0
BP_REDIRECT_RESOLVED_CORE_26,0,0
PERFECT_TARGET_PRED_CORE_26,0,0
BP_ON_PATH_CORRECT_CORE_26,576,100%
BP_ON_PATH_MISPREDICT_CORE_26,0,0%
BP_ON_PATH_MISFETCH_CORE_26,0,0%
BP_MISPRED_STALL_CORE_27,0,0
BP_RESOLVED_CORE_27,0,0
BP_REDIRECT_RESOLVED_CORE_27,0,0
PERFECT_TARGET_PRED_CORE_27,0,0
BP_ON_PATH_CORRECT_CORE_27,608,100%
BP_ON_PATH_MISPREDICT_CORE_27,0,0%
BP_ON_PATH_MISFETCH_CORE_27,0,0%
BP_MISPRED_STALL_CORE_28,0,0
BP_RESOLVED_CORE_28,0,0
BP_REDIRECT_RESOLVED_CORE_28,0,0
PERFECT_TARGET_PRED_CORE_28,0,0
BP_ON_PATH_CORRECT_CORE_28,640,100%
BP_ON_PATH_MISPREDICT_CORE_28,0,0%
BP_ON_PATH_MISFETCH_CORE_28,0,0%
BP_MISPRED_STALL_CORE_29,0,0
BP_RESOLVED_CORE_29,0,0
BP_REDIRECT_RESOLVED_CORE_29,0,0
PERFECT_TARGET_PRED_CORE_29,0,0
BP_ON_PATH_CORRECT_CORE_29,608,100%
BP_ON_PATH_MISPREDICT_CORE_29,0,0%
BP_ON_PATH_MISFETCH_CORE_29,0,0%
BP_MISPRED_STALL_CORE_30,0,0
BP_RESOLVED_CORE_30,0,0
BP_REDIRECT_RESOLVED_CORE_30,0,0
PERFECT_TARGET_PRED_CORE_30,0,0
BP_ON_PATH_CORRECT_CORE_30,672,100%
BP_ON_PATH_MISPREDICT_CORE_30,0,0%
BP_ON_PATH_MISFETCH_CORE_30,0,0%
BP_MISPRED_STALL_CORE_31,0,0
BP_RESOLVED_CORE_31,0,0
BP_REDIRECT_RESOLVED_CORE_31,0,0
PERFECT_TARGET_PRED_CORE_31,0,0
BP_ON_PATH_CORRECT_CORE_31,672,100%
BP_ON_PATH_MISPREDICT_CORE_31,0,0%
BP_ON_PATH_MISFETCH_CORE_31,0,0%
BP_MISPRED_STALL_CORE_32,0,0
BP_RESOLVED_CORE_32,0,0
BP_REDIRECT_RESOLVED_CORE_32,0,0
PERFECT_TARGET_PRED_CORE_32,0,0
BP_ON_PATH_CORRECT_CORE_32,704,100%
BP_ON_PATH_MISPREDICT_CORE_32,0,0%
BP_ON_PATH_MISFETCH_CORE_32,0,0%
BP_MISPRED_STALL_CORE_33,0,0
BP_RESOLVED_CORE_33,0,0
BP_REDIRECT_RESOLVED_CORE_33,0,0
PERFECT_TARGET_PRED_CORE_33,0,0
BP_ON_PATH_CORRECT_CORE_33,640,100%
BP_ON_PATH_MISPREDICT_CORE_33,0,0%
BP_ON_PATH_MISFETCH_CORE_33,0,0%
BP_MISPRED_STALL_CORE_34,0,0
BP_RESOLVED_CORE_34,0,0
BP_REDIRECT_RESOLVED_CORE_34,0,0
PERFECT_TARGET_PRED_CORE_34,0,0
BP_ON_PATH_CORRECT_CORE_34,672,100%
BP_ON_PATH_MISPREDICT_CORE_34,0,0%
BP_ON_PATH_MISFETCH_CORE_34,0,0%
BP_MISPRED_STALL_CORE_35,0,0
BP_RESOLVED_CORE_35,0,0
BP_REDIRECT_RESOLVED_CORE_35,0,0
PERFECT_TARGET_PRED_CORE_35,0,0
BP_ON_PATH_CORRECT_CORE_35,576,100%
BP_ON_PATH_MISPREDICT_CORE_35,0,0%
BP_ON_PATH_MISFETCH_CORE_35,0,0%
BP_MISPRED_STALL_CORE_36,0,0
BP_RESOLVED_CORE_36,0,0
BP_REDIRECT_RESOLVED_CORE_36,0,0
PERFECT_TARGET_PRED_CORE_36,0,0
BP_ON_PATH_CORRECT_CORE_36,576,100%
BP_ON_PATH_MISPREDICT_CORE_36,0,0%
BP_ON_PATH_MISFETCH_CORE_36,0,0%
BP_MISPRED_STALL_CORE_37,0,0
BP_RESOLVED_CORE_37,0,0
BP_REDIRECT_RESOLVED_CORE_37,0,0
PERFECT_TARGET_PRED_CORE_37,0,0
BP_ON_PATH_CORRECT_CORE_37,640,100%
BP_ON_PATH_MISPREDICT_CORE_37,0,0%
BP_ON_PATH_MISFETCH_CORE_37,0,0%
BP_MISPRED_STALL_CORE_38,0,0
BP_RESOLVED_CORE_38,0,0
BP_REDIRECT_RESOLVED_CORE_38,0,0
PERFECT_TARGET_PRED_CORE_38,0,0
BP_ON_PATH_CORRECT_CORE_38,704,100%
BP_ON_PATH_MISPREDICT_CORE_38,0,0%
BP_ON_PATH_MISFETCH_CORE_38,0,0%
BP_MISPRED_STALL_CORE_39,0,0
BP_RESOLVED_CORE_39,0,0
BP_REDIRECT_RESOLVED_CORE_39,0,0
PERFECT_TARGET_PRED_CORE_39,0,0
BP_ON_PATH_CORRECT_CORE_39,768,100%
BP_ON_PATH_MISPREDICT_CORE_39,0,0%
BP_ON_PATH_MISFETCH_CORE_39,0,0%
BP_MISPRED_STALL_CORE_40,0,0
BP_RESOLVED_CORE_40,0,0
BP_REDIRECT_RESOLVED_CORE_40,0,0
PERFECT_TARGET_PRED_CORE_40,0,0
BP_ON_PATH_CORRECT_CORE_40,576,100%
BP_ON_PATH_MISPREDICT_CORE_40,0,0%
BP_ON_PATH_MISFETCH_CORE_40,0,0%
BP_MISPRED_STALL_CORE_41,0,0
BP_RESOLVED_CORE_41,0,0
BP_REDIRECT_RESOLVED_CORE_41,0,0
PERFECT_TARGET_PRED_CORE_41,0,0
BP_ON_PATH_CORRECT_CORE_41,672,100%
BP_ON_PATH_MISPREDICT_CORE_41,0,0%
BP_ON_PATH_MISFETCH_CORE_41,0,0%
BP_MISPRED_STALL_CORE_42,0,0
BP_RESOLVED_CORE_42,0,0
BP_REDIRECT_RESOLVED_CORE_42,0,0
PERFECT_TARGET_PRED_CORE_42,0,0
BP_ON_PATH_CORRECT_CORE_42,576,100%
BP_ON_PATH_MISPREDICT_CORE_42,0,0%
BP_ON_PATH_MISFETCH_CORE_42,0,0%
BP_MISPRED_STALL_CORE_43,0,0
BP_RESOLVED_CORE_43,0,0
BP_REDIRECT_RESOLVED_CORE_43,0,0
PERFECT_TARGET_PRED_CORE_43,0,0
BP_ON_PATH_CORRECT_CORE_43,608,100%
BP_ON_PATH_MISPREDICT_CORE_43,0,0%
BP_ON_PATH_MISFETCH_CORE_43,0,0%
BP_MISPRED_STALL_CORE_44,0,0
BP_RESOLVED_CORE_44,0,0
BP_REDIRECT_RESOLVED_CORE_44,0,0
PERFECT_TARGET_PRED_CORE_44,0,0
BP_ON_PATH_CORRECT_CORE_44,672,100%
BP_ON_PATH_MISPREDICT_CORE_44,0,0%
BP_ON_PATH_MISFETCH_CORE_44,0,0%
BP_MISPRED_STALL_CORE_45,0,0
BP_RESOLVED_CORE_45,0,0
BP_REDIRECT_RESOLVED_CORE_45,0,0
PERFECT_TARGET_PRED_CORE_45,0,0
BP_ON_PATH_CORRECT_CORE_45,672,100%
BP_ON_PATH_MISPREDICT_CORE_45,0,0%
BP_ON_PATH_MISFETCH_CORE_45,0,0%
BP_MISPRED_STALL_CORE_46,0,0
BP_RESOLVED_CORE_46,0,0
BP_REDIRECT_RESOLVED_CORE_46,0,0
PERFECT_TARGET_PRED_CORE_46,0,0
BP_ON_PATH_CORRECT_CORE_46,672,100%
BP_ON_PATH_MISPREDICT_CORE_46,0,0%
BP_ON_PATH_MISFETCH_CORE_46,0,0%
BP_MISPRED_STALL_CORE_47,0,0
BP_RESOLVED_CORE_47,0,0
BP_REDIRECT_RESOLVED_CORE_47,0,0
PERFECT_TARGET_PRED_CORE_47,0,0
BP_ON_PATH_CORRECT_CORE_47,576,100%
BP_ON_PATH_MISPREDICT_CORE_47,0,0%
BP_ON_PATH_MISFETCH_CORE_47,0,0%
